satir_no,external_id,first_name,last_name,email,phone,organization,language,tags,groups,role,enabled,durum,hatalar
"1","","","Yılmaz","ahmet.yilmaz@example.com","9.05321234567E11","","tr-TR","vip;customer","Support;Sales","agent","true","eksik/hatalı","Ad (First Name) alanı boş olamaz.;Geçersiz telefon numarası formatı (E.164 bekleniyor): '9.05321234567E11'"
"2","","","Demir","ayse.demir@example.com","","","","","en-US","partner","true","eksik/hatalı","Ad (First Name) alanı boş olamaz."
"3","","","Can","mehmetcan@example.com","9.05559876543E11","","tr-TR","tester","Developers","","true","eksik/hatalı","Ad (First Name) alanı boş olamaz.;Geçersiz telefon numarası formatı (E.164 bekleniyor): '9.05559876543E11'"
"4","","","Kaya","","9.05441231234E11","","tr-TR","new_client","Customers","customer","true","eksik/hatalı","Ad (First Name) alanı boş olamaz.;Geçersiz telefon numarası formatı (E.164 bekleniyor): '9.05441231234E11'"
"5","","","Veli","invalid-email","","","","","en-US","","true","eksik/hatalı","Ad (First Name) alanı boş olamaz.;Geçersiz e-posta formatı: 'invalid-email'"
"6","","","Ak","","","","","","","","true","eksik/hatalı","Ad (First Name) alanı boş olamaz.;E-posta veya telefon numarası alanlarından en az biri girilmelidir."
"7","","","Su","gamze.su@example.com","5.331112233E9","","tr-TR","premium","","agent","true","eksik/hatalı","Ad (First Name) alanı boş olamaz.;Geçersiz telefon numarası formatı (E.164 bekleniyor): '5.331112233E9'"
"8","","","Tunç","cem@tunc.com","5.309998877E9","","","","","","true","eksik/hatalı","Ad (First Name) alanı boş olamaz.;Geçersiz telefon numarası formatı (E.164 bekleniyor): '5.309998877E9'"
"9","","","","emre@example.com","9.05431234567E11","","","","","","true","eksik/hatalı","Ad (First Name) alanı boş olamaz.;Soyad (Last Name) alanı boş olamaz.;Geçersiz telefon numarası formatı (E.164 bekleniyor): '9.05431234567E11'"
"10","","","Eren","eren@example.com","9.05439876543E11","","","","","","true","eksik/hatalı","Ad (First Name) alanı boş olamaz.;Geçersiz telefon numarası formatı (E.164 bekleniyor): '9.05439876543E11'"
